Código,Descripción
,
1,Despacho del Presidente
2,Despacho del Vicepresidente
3,Despacho del Ministro
4,Despacho Viceministro
5,Dirección General
6,Dirección de Línea
7,Coordinación
8,División
9,Departamento
10,Presidencia
11,Gerencia General
12,Gerencia
13,Sub-Gerencia
14,Despacho del Superintendente
15,Dirección General Adjunta
16,Intendencia
17,Unidad Ad- Hoc
18,Área Organizacional
19,Área de Trabajo
20,Otra Categoría de Unidad
