Código,Descripción
1,En uso
2,En comodato
3,En arrendamiento
4,En mantenimiento
5,En reparación
6,En proceso de disposición
7,En desuso por obsolescencia 
8,En desuso por  inservibilidad 
9,En desuso por  obsolescencia e inservibilidad 
10,En Almacén o Depósito para su asignación
11,Otro uso
