Código,Descripción
,
1,Compra Directa (por consulta de Precio)
2,Permuta
3,Dación en Pago
4,Donación
5,Transferencia
6,Expropiación
7,Confiscación
8,Compra por Concurso Abierto
9,Compra por Concurso Cerrado
10,Adjudicación
